area_type,availability,size,site_location,society,total_sqft,bath,balcony,price
Super built-up  Area,20-Dec,3 BHK,Khadaki,Somns T,1306,3,2,54.65
Super built-up  Area,Ready To Move,3 BHK,Khadki,Nillsre,1626,3,3,89
Built-up  Area,Ready To Move,6 BHK,Kharadi,,2700,4,2,214
Super built-up  Area,Ready To Move,3 BHK,Kondhwa,Sudama ,1585,3,2,88
Super built-up  Area,Ready To Move,2 BHK,Kondhwa Budruk,,1370,2,1,56.17
Plot  Area,Ready To Move,5 Bedroom,Kondhwa Khurd,,3250,5,3,900
Super built-up  Area,Ready To Move,2 BHK,Koregaon Park,Goelsn ,1495,2,2,90
Super built-up  Area,Ready To Move,3 BHK,Kothrud,,2000,3,2,210
Plot  Area,Ready To Move,5 Bedroom,Law College Road,,2400,4,1,300
Plot  Area,Ready To Move,3 Bedroom,Laxmi Road,,1375,3,0,57
Super built-up  Area,Ready To Move,4 BHK,Lulla Nagar,Brica E,3630 - 3800,6,0,224.5
Built-up  Area,Ready To Move,3 BHK,Mahatma Gandhi Road,,1400,2,2,48
Super built-up  Area,Ready To Move,5 BHK,Mangalwar peth,,1100,5,0,135
Super built-up  Area,21-Dec,1 BHK,Manik Bagh,SudenEd,660 - 670,,,28.585
Plot  Area,Ready To Move,4 Bedroom,Market yard,,1200,4,2,215
Super built-up  Area,Ready To Move,2 BHK,Model colony,,1150,2,2,46
Super built-up  Area,Ready To Move,2 BHK,Mukund Nagar,,1080,2,1,54
Super built-up  Area,Ready To Move,3 BHK,Mundhawa,Brtiael,1645,3,2,100
Super built-up  Area,Ready To Move,3 BHK,Nagar Road,AkletBa,1760,3,3,176
Built-up  Area,Ready To Move,1 BHK,Nana Peth,Raiyai ,595,1,1,42
Plot  Area,Ready To Move,3 Bedroom,Narayan Peth,Prana S,1200,3,1,125
Super built-up  Area,18-Dec,4 BHK,Narayangaon,Pehtsa ,4000 - 5249,4,0,314.5
Built-up  Area,Ready To Move,2 BHK,Navi Peth,Vaodak ,1410,2,3,67
Built-up  Area,18-Dec,2 BHK,Padmavati,,1090,2,1,31.48
Plot  Area,Ready To Move,1 Bedroom,Parvati Darshan,,540,1,0,30
Super built-up  Area,Ready To Move,2 BHK,Pashan,Maaveal,1300,2,2,60
Built-up  Area,Ready To Move,3 BHK,Paud Road,ImiteEl,1890,2,2,85
Super built-up  Area,Ready To Move,2 BHK,Pirangut,SLwernf,1254,2,1,53
Built-up  Area,Ready To Move,7 Bedroom,Prabhat Road,,2800,7,2,125
Built-up  Area,Ready To Move,2 BHK,Pune Railway Station,,1275,2,,120
Super built-up  Area,Ready To Move,3 BHK,Rasta Peth,,1245,2,2,68.48
Built-up  Area,Ready To Move,2 BHK,Raviwar Peth,TealdEm,1170,2,2,86
Super built-up  Area,18-Apr,2 BHK,Sadashiv Peth,Prcesvy,1193,2,1,86
Super built-up  Area,18-Dec,2 BHK,Sahakar Nagar,,850,2,1,25.4
Super built-up  Area,Ready To Move,3 BHK,Salunke Vihar,PadgeOa,1678,3,3,70
Built-up  Area,Ready To Move,3 BHK,Sasson Road,NDrelau,1600,3,3,75
Super built-up  Area,Ready To Move,3 BHK,Satara Road,GaicaVe,1750,3,2,84
Super built-up  Area,18-Nov,2 BHK,Senapati Bapat Road,,1125,2,2,62
Plot  Area,Ready To Move,4 Bedroom,Shaniwar Peth,,2200,4,3,235
Plot  Area,Ready To Move,3 Bedroom,Shivaji Nagar,CoiewSy,1500Sq. Meter,3,1,95
Built-up  Area,Ready To Move,3 BHK,Shukrawar Peth,Peentn ,2800,2,0,200
Plot  Area,Ready To Move,2 Bedroom,Sinhagad Road,,1200,2,1,120
Built-up  Area,Ready To Move,2 BHK,Somwar Peth,Riave E,1000,2,1,50
Built-up  Area,Ready To Move,4 BHK,Swargate,,2780,5,2,480
Built-up  Area,18-Dec,3 BHK,Tilak Road,Sryalan,1320,2,1,38.13
Super built-up  Area,Ready To Move,27 BHK,Uruli Devachi,,8000,27,0,230
Super built-up  Area,Ready To Move,4 BHK,Vadgaon Budruk,AWharde,2422,4,2,160
Built-up  Area,Ready To Move,2 BHK,Wadgaon Sheri,TNaldme,1100,2,1,50
Built-up  Area,Ready To Move,2 BHK,Viman Nagar,Gaent R,882,2,1,30
Super built-up  Area,Ready To Move,2 BHK,Vishrant Wadi,Prityel,845,2,1,37
Super built-up  Area,Ready To Move,2 BHK,Wagholi,Prrtht ,883,2,1,39
Super built-up  Area,Ready To Move,1 BHK,Wakadewadi,Bhmesy ,620 - 933,,,48.145
Super built-up  Area,Ready To Move,3 BHK,Wanowrie,Gotaten,1595,3,3,88
Built-up  Area,Ready To Move,2 BHK,Warje,Gotis A,1280,2,0,85
Built-up  Area,Ready To Move,4 Bedroom,Yerawada,,1700,2,1,550
Super built-up  Area,Ready To Move,2 BHK,,NaaveEn,920,2,0,35
Super built-up  Area,Ready To Move,2 BHK,Alandi Road,GRlpank,1300,2,3,57
Super built-up  Area,Ready To Move,2 BHK,Ambegaon Budruk,Malex C,1450,1,0,230
Super built-up  Area,Ready To Move,3 BHK,Anandnagar,SosicCl,1757,3,2,132
Super built-up  Area,Ready To Move,1 BHK,Aundh,,600,1,1,16.5
Built-up  Area,Ready To Move,4 Bedroom,Aundh Road,,2400,3,2,142
Super built-up  Area,Ready To Move,2 BHK,Balaji Nagar,,1240,2,1,44
Plot  Area,Ready To Move,10 Bedroom,Baner,,750,10,,90
Super built-up  Area,18-Feb,2 BHK,Baner road,BrontLa,1330,2,1,93.36
Super built-up  Area,Ready To Move,2 BHK,Bhandarkar Road,MBodsen,1062,2,1,42.47
Built-up  Area,Ready To Move,2 BHK,Bhavani Peth,DSillto,1078,2,2,45
Super built-up  Area,Ready To Move,3 BHK,Bibvewadi,SNity S,1460,2,2,72
Plot  Area,18-Dec,3 Bedroom,Bopodi,,1200,3,2,68.5
Super built-up  Area,Ready To Move,1 BHK,Budhwar Peth,,1200,1,1,48
Super built-up  Area,Ready To Move,3 BHK,Bund Garden Road,,912,2,1,39
Super built-up  Area,19-Mar,3 BHK,Camp,Sosisic,142.61Sq. Meter,3,1,115
Plot  Area,Ready To Move,5 Bedroom,Chandan Nagar,,2400,5,1,625
Plot  Area,Ready To Move,4 Bedroom,Dapodi,Prigh L,2028,4,3,162
Super built-up  Area,19-Apr,2 BHK,Deccan Gymkhana,Brama P,980,2,1,45.47
Built-up  Area,Ready To Move,2 BHK,Dehu Road,Usquaya,1000,2,2,40
Super built-up  Area,Ready To Move,2 BHK,Dhankawadi,Ahriaup,1050,2,1,62
Built-up  Area,18-Dec,3 Bedroom,Dhayari Phata,,2611,3,1,239
Super built-up  Area,Ready To Move,3 BHK,Dhole Patil Road,Saiewas,1875,2,2,150
Super built-up  Area,Ready To Move,2 BHK,Erandwane,,1065,2,1,42.6
Built-up  Area,Ready To Move,3 BHK,Fatima Nagar,,1800,3,2,180
Super built-up  Area,Ready To Move,2 BHK,Fergusson College Road,,1163,2,2,98.86
Super built-up  Area,Ready To Move,2 BHK,Ganesh Peth,,1098,2,1,72
Built-up  Area,Ready To Move,3 BHK,Ganeshkhind,Shlashi,1725,2,2,100
Plot  Area,Ready To Move,4 Bedroom,Ghorpade Peth,,4000,4,2,330
Super built-up  Area,Ready To Move,2 BHK,Ghorpadi,Adity S,1128,2,2,75
Plot  Area,Ready To Move,8 Bedroom,Gokhale Nagar,,1320,6,2,200
Super built-up  Area,Ready To Move,3 BHK,Gultekdi,Prensya,1705,3,1,74.16
Super built-up  Area,Ready To Move,2 BHK,Guruwar peth,,1418,2,2,95
Built-up  Area,Ready To Move,3 Bedroom,Hadapsar,,1500,3,1,160
Built-up  Area,Ready To Move,2 BHK,Hadapsar Industrial Estate,AkncyRe,1100,2,2,50
Super built-up  Area,Ready To Move,3 BHK,Hingne Khurd,,1464,3,2,56
Super built-up  Area,18-May,2 BHK,Jangali Maharaj Road,Arcia S,812,2,2,55
Super built-up  Area,19-Dec,4 BHK,Kalyani Nagar,Shestlo,2695 - 2940,,,204
Super built-up  Area,Ready To Move,2 BHK,Karve Nagar,,1280,2,2,40
Super built-up  Area,Ready To Move,2 BHK,Karve Road,BruntPa,1420,2,2,136
Plot  Area,Ready To Move,11 Bedroom,Kasba Peth,,1200,11,0,170
Plot  Area,Ready To Move,6 Bedroom,Katraj,,727,6,2,66
Plot  Area,Ready To Move,4 Bedroom,Khadaki,,1200,2,1,150
Super built-up  Area,18-May,4 BHK,Khadki,Jaades ,2774,4,,207
Super built-up  Area,Ready To Move,3 BHK,Kharadi,,2000,3,2,85
Super built-up  Area,Ready To Move,3 BHK,Kondhwa,Gats He,1722,3,,95
Super built-up  Area,Ready To Move,3 BHK,Kondhwa Budruk,ToSky F,2800,3,1,330
Plot  Area,Immediate Possession,,Kondhwa Khurd,Orana N,2000 - 5634,,,124
Carpet  Area,Ready To Move,3 BHK,Koregaon Park,Fanorrt,1650,3,3,175
Built-up  Area,Ready To Move,2 BHK,Kothrud,Raave E,840,2,2,27
Built-up  Area,Ready To Move,2 BHK,Law College Road,DLhtsan,914,2,2,47
Super built-up  Area,19-Mar,3 BHK,Laxmi Road,Puachal,1482,2,2,83.73
Super built-up  Area,17-Dec,3 BHK,Lulla Nagar,Dieldli,1724,3,2,127
Super built-up  Area,Ready To Move,3 BHK,Mahatma Gandhi Road,Vadidpl,1670,3,3,91.86
Super built-up  Area,Ready To Move,2 BHK,Mangalwar peth,,1184,2,3,53
Super built-up  Area,Ready To Move,2 BHK,Manik Bagh,,1200,2,1,55
Plot  Area,Ready To Move,2 Bedroom,Market yard,,1200,2,0,65
Super built-up  Area,Ready To Move,2 BHK,Model colony,DLhtsen,927,2,2,55
Super built-up  Area,Ready To Move,2 BHK,Mukund Nagar,,1242,2,3,39.7
Built-up  Area,18-Aug,3 BHK,Mundhawa,Sryalan,1220,3,1,35.23
Built-up  Area,Ready To Move,3 BHK,Nagar Road,GMown E,1360,2,1,75
Plot  Area,Ready To Move,4 Bedroom,Nana Peth,,2800,4,2,240
Super built-up  Area,Ready To Move,2 BHK,Narayan Peth,Hiestre,1180,2,2,72
Super built-up  Area,Ready To Move,3 BHK,Narayangaon,Prtates,1697,3,2,108
Super built-up  Area,Ready To Move,2 BHK,Navi Peth,,550,2,1,26
Super built-up  Area,Ready To Move,2 BHK,Padmavati,Shateor,1225,2,1,57
Super built-up  Area,Ready To Move,3 BHK,Parvati Darshan,ViisePa,1690,2,2,55
Plot  Area,18-Apr,10 Bedroom,Pashan,,1660,10,,475
Super built-up  Area,Ready To Move,3 BHK,Paud Road,,1488,3,,57
Built-up  Area,Ready To Move,3 BHK,Pirangut,Keharya,1250,2,1,80
Super built-up  Area,Ready To Move,1 BHK,Prabhat Road,Duoveoo,1050,1,1,44
Super built-up  Area,Ready To Move,2 BHK,Pune Railway Station,,1027,2,2,44
Super built-up  Area,21-May,3 BHK,Rasta Peth,GolusLi,1699,3,3,81.94
Built-up  Area,Ready To Move,2 BHK,Raviwar Peth,Viaree ,1205,2,2,58
Plot  Area,Ready To Move,4 Bedroom,Sadashiv Peth,,712,2,1,67.5
Super built-up  Area,18-Feb,2 BHK,Sahakar Nagar,,950,2,3,39
Plot  Area,Ready To Move,2 Bedroom,Salunke Vihar,,1200,2,0,70
Super built-up  Area,Ready To Move,3 BHK,Sasson Road,Hiows C,1476,3,1,120
Built-up  Area,Ready To Move,2 BHK,Satara Road,,1070,2,1,55
Super built-up  Area,Ready To Move,3 BHK,Senapati Bapat Road,BrontLa,2160,4,2,172
Super built-up  Area,Ready To Move,2 BHK,Shaniwar Peth,Putus L,1296,2,1,75
Built-up  Area,Ready To Move,2 Bedroom,Shivaji Nagar,,1800,1,1,128
Super built-up  Area,Ready To Move,3 BHK,Shukrawar Peth,JRrnauv,1570,3,3,64.5
Super built-up  Area,Ready To Move,2 BHK,Sinhagad Road,Saace P,1300,2,3,110
Built-up  Area,Ready To Move,4 BHK,Somwar Peth,,1550,2,2,65
Super built-up  Area,Ready To Move,2 BHK,Swargate,GMown E,770,1,1,40
Built-up  Area,Ready To Move,3 BHK,Tilak Road,Kuownri,1870,3,,110
Plot  Area,Ready To Move,3 Bedroom,Uruli Devachi,Edleyil,1650,4,,160
Super built-up  Area,Ready To Move,3 BHK,Vadgaon Budruk,Valipf ,1429,3,3,86
Super built-up  Area,17-Nov,3 BHK,Wadgaon Sheri,,1167,2,2,39.98
Super built-up  Area,18-May,2 BHK,Viman Nagar,SSestth,1035,2,1,41.73
Super built-up  Area,Ready To Move,3 BHK,Vishrant Wadi,,1188,2,2,38
Plot  Area,Ready To Move,5 Bedroom,Wagholi,,1200,4,2,285
Plot  Area,Ready To Move,3 Bedroom,Wakadewadi,Inensba,1574Sq. Yards,3,1,76
Super built-up  Area,Ready To Move,1 BHK,Wanowrie,MaentNa,884,2,2,36
Super built-up  Area,Ready To Move,2 BHK,Warje,,1194,2,2,46
Super built-up  Area,19-Dec,2 BHK,Yerawada,Caycend,1026,2,1,60.87
Plot  Area,Ready To Move,7 Bedroom,Alandi Road,,1400,6,3,200
Super built-up  Area,Ready To Move,2 BHK,Ambegaon Budruk,,1115,2,2,50
Plot  Area,Ready To Move,2 Bedroom,Anandnagar,,1200,2,1,125
Super built-up  Area,18-Dec,4 BHK,Aundh,Jaades ,2690,4,3,191
Super built-up  Area,Ready To Move,2 BHK,Aundh Road,Mayne A,975,2,1,58
Plot  Area,Ready To Move,3 Bedroom,Balaji Nagar,,675,3,2,72.5
Super built-up  Area,Ready To Move,4 BHK,Baner,,1900,2,1,170
Plot  Area,17-Dec,3 Bedroom,Baner road,,600,3,1,100
Super built-up  Area,Ready To Move,2 BHK,Bhandarkar Road,,1101,2,2,65.5
Super built-up  Area,Ready To Move,3 BHK,Bhavani Peth,Maana E,1700,3,3,135
Super built-up  Area,Ready To Move,4 BHK,Bibvewadi,PrOakSi,3606,4,2,312
Super built-up  Area,Ready To Move,2 BHK,Bopodi,ACersd ,1258,2,2,115
Carpet  Area,Ready To Move,3 BHK,Budhwar Peth,Advash ,1560,3,,92
Super built-up  Area,Ready To Move,4 BHK,Bund Garden Road,Brica E,3630,6,1,195
Built-up  Area,Ready To Move,3 BHK,Camp,Adace P,2000,3,2,250
Super built-up  Area,19-Jun,4 BHK,Chandan Nagar,Raard B,2790,4,3,198
Super built-up  Area,20-Jan,3 BHK,Dapodi,DNncasa,1494,2,2,94.55
Super built-up  Area,18-Oct,3 BHK,Deccan Gymkhana,Puachal,1482,2,1,87
Super built-up  Area,Ready To Move,2 BHK,Dehu Road,Inuseda,800,2,3,50
Super built-up  Area,Ready To Move,2 BHK,Dhankawadi,,1185,2,2,47.39
Super built-up  Area,Ready To Move,2 BHK,Dhayari Phata,RatosAr,1100,2,2,71.5
Built-up  Area,Ready To Move,2 Bedroom,Dhole Patil Road,,1300,2,0,120
Super built-up  Area,Ready To Move,2 BHK,Erandwane,EvestPi,1225,2,2,150
Super built-up  Area,Ready To Move,3 BHK,Fatima Nagar,,1758,3,2,65
Super built-up  Area,Ready To Move,2 BHK,Fergusson College Road,,1145,2,2,55
Built-up  Area,Ready To Move,2 BHK,Ganesh Peth,BhncyRe,1180,2,2,50
Super built-up  Area,Ready To Move,2 BHK,Ganeshkhind,Kehts H,1260,2,2,58
Super built-up  Area,19-Jun,4 BHK,Ghorpade Peth,Vaaram ,3450 - 3472,,,173
Built-up  Area,Ready To Move,2 BHK,Ghorpadi,DancyRe,1190,2,2,55
Super built-up  Area,Ready To Move,3 BHK,Gokhale Nagar,Klark L,1691,3,2,119
Super built-up  Area,18-Dec,4 BHK,Gultekdi,,3675,4,3,367
Built-up  Area,Ready To Move,3 BHK,Guruwar peth,Frhts H,1305,3,,95.45
Super built-up  Area,18-Apr,3 BHK,Hadapsar,,2337,4,3,292
Plot  Area,Ready To Move,2 Bedroom,Hadapsar Industrial Estate,,1200,2,2,150
Super built-up  Area,20-Dec,2 BHK,Hingne Khurd,,1206,2,1,217
Plot  Area,Ready To Move,5 Bedroom,Jangali Maharaj Road,,1350,4,1,130
Super built-up  Area,Ready To Move,2 BHK,Kalyani Nagar,,1140,2,1,50.66
Super built-up  Area,Ready To Move,2 BHK,Karve Nagar,Mauil T,1250,2,2,65
Plot  Area,Ready To Move,3 Bedroom,Karve Road,,600,2,1,60
Super built-up  Area,18-Aug,2 BHK,Kasba Peth,,1225,2,2,48
Built-up  Area,Ready To Move,2 BHK,Katraj,N iewak,800,2,2,28
Super built-up  Area,Ready To Move,2 BHK,Khadaki,ShshaSa,1020,2,1,58
Built-up  Area,Ready To Move,4 Bedroom,Khadki,,2100,2,1,50
Plot  Area,Ready To Move,2 Bedroom,Kharadi,,1350,2,1,80
Super built-up  Area,Ready To Move,2 BHK,Kondhwa,,925,2,1,40
Built-up  Area,Ready To Move,4 Bedroom,Kondhwa Budruk,,1800,3,1,220
Built-up  Area,Ready To Move,3 Bedroom,Kondhwa Khurd,,2000,3,1,100
Built-up  Area,Ready To Move,3 BHK,Koregaon Park,Loente ,1510,2,1,75
Plot  Area,Ready To Move,5 Bedroom,Kothrud,,5800,7,,1200
Super built-up  Area,Ready To Move,3 BHK,Law College Road,DubowRa,1614,3,1,110
Plot  Area,Ready To Move,3 Bedroom,Laxmi Road,,682,2,1,130
Plot  Area,Ready To Move,2 Bedroom,Lulla Nagar,,1200,2,0,95
Plot  Area,Ready To Move,2 Bedroom,Mahatma Gandhi Road,,900,2,0,55
Built-up  Area,Ready To Move,4 Bedroom,Mangalwar peth,Prana S,1632,3,0,145
Super built-up  Area,Ready To Move,2 BHK,Manik Bagh,,1041,2,2,65.5
Built-up  Area,Ready To Move,6 BHK,Market yard,BriumMi,5080,7,,450
Super built-up  Area,18-Jul,4 BHK,Model colony,Mamespa,3012,6,2,250
Super built-up  Area,Ready To Move,3 BHK,Mukund Nagar,,1530,3,2,74.5
Super built-up  Area,Ready To Move,3 BHK,Mundhawa,NCdgerj,1450,2,2,135
Super built-up  Area,Ready To Move,2 BHK,Nagar Road,Hiate F,1200,2,2,75
Plot  Area,Ready To Move,4 Bedroom,Nana Peth,,1200,4,,130
Super built-up  Area,Ready To Move,3 BHK,Narayan Peth,PuendWe,1508,2,1,110
Built-up  Area,Ready To Move,7 BHK,Narayangaon,,600,7,3,106
Super built-up  Area,Ready To Move,2 BHK,Navi Peth,AlEcone,1188,2,3,73
Super built-up  Area,18-May,4 BHK,Padmavati,Jaades ,2690,4,3,199
Super built-up  Area,Ready To Move,2 BHK,Parvati Darshan,Prncyrn,1174,2,1,76
Super built-up  Area,19-Dec,3 BHK,Pashan,SheldGr,1350,3,1,58.99
Super built-up  Area,Ready To Move,3 BHK,Paud Road,Bamita ,1870,3,3,185
Super built-up  Area,18-Jun,2 BHK,Pirangut,DSestSt,1072,2,1,25
Plot  Area,Ready To Move,3 Bedroom,Prabhat Road,,52272,2,1,140
Super built-up  Area,18-Nov,2 BHK,Pune Railway Station,VBn 2lm,726,2,1,31
Super built-up  Area,Ready To Move,2 BHK,Rasta Peth,Saageat,1345,2,2,106
Super built-up  Area,Ready To Move,2 BHK,Raviwar Peth,Dhalsh ,1200,2,2,45
Built-up  Area,Ready To Move,2 BHK,Sadashiv Peth,,980,2,0,37
Super built-up  Area,Ready To Move,2 BHK,Sahakar Nagar,SyidaCr,1050,2,1,77
Super built-up  Area,Ready To Move,2 BHK,Salunke Vihar,,993,2,1,39.71
Super built-up  Area,Ready To Move,3 BHK,Sasson Road,,1300,2,2,52
Super built-up  Area,Ready To Move,3 BHK,Satara Road,Prlla C,1743,3,2,85
Plot  Area,Ready To Move,4 Bedroom,Senapati Bapat Road,,1204,4,1,125
Plot  Area,Ready To Move,2 Bedroom,Shaniwar Peth,,1200,2,0,67
Super built-up  Area,Ready To Move,3 BHK,Shivaji Nagar,,1480,3,2,90
Super built-up  Area,Ready To Move,2 BHK,Shukrawar Peth,Sondaka,950,2,2,32.5
Built-up  Area,Ready To Move,1 BHK,Sinhagad Road,Saiewas,640,1,0,55
Super built-up  Area,18-Jul,2 BHK,Somwar Peth,MJtroty,972,2,1,44
Super built-up  Area,Ready To Move,3 BHK,Swargate,PadgeOa,1840,3,3,98
Super built-up  Area,Ready To Move,2 BHK,Tilak Road,Prarkun,1128,2,1,64
Plot  Area,Ready To Move,2 Bedroom,Uruli Devachi,,680,2,0,42
Plot  Area,Ready To Move,2 Bedroom,Vadgaon Budruk,Clood E,2400,2,1,95
Built-up  Area,Ready To Move,2 BHK,Wadgaon Sheri,,1045,2,2,42
Built-up  Area,Ready To Move,2 BHK,Viman Nagar,,955,2,3,53.55
Super built-up  Area,Ready To Move,3 BHK,Vishrant Wadi,,1360,2,2,54.39
Super built-up  Area,Ready To Move,2 BHK,Wagholi,Mames M,1150,2,2,63
Built-up  Area,19-Mar,4 Bedroom,Wakadewadi,Gollela,3450,4,3,294
Super built-up  Area,18-Oct,2 BHK,Wanowrie,,1115,2,2,56.87
Super built-up  Area,Ready To Move,2 BHK,Warje,DLhtsen,920,2,2,46
Super built-up  Area,18-Jun,2 BHK,Yerawada,,1030,2,1,41
Super built-up  Area,Ready To Move,3 BHK,Alandi Road,Soitya ,1564,3,1,101
Super built-up  Area,Ready To Move,2 BHK,Ambegaon Budruk,SirlsPe,1045,2,1,45
Plot  Area,Ready To Move,4 Bedroom,Anandnagar,,1200,4,1,83
Built-up  Area,Ready To Move,2 BHK,Aundh,,1277,2,2,55
Super built-up  Area,Ready To Move,3 BHK,Aundh Road,SoniaPe,2479.13,3,1,215
Super built-up  Area,Ready To Move,3 BHK,Balaji Nagar,Adeatlm,1846,3,2,140
Built-up  Area,Ready To Move,2 BHK,Baner,,1100,2,0,106
Super built-up  Area,Ready To Move,3 BHK,Baner road,Muncy R,1690,3,,75
Plot  Area,17-Jul,2 Bedroom,Bhandarkar Road,,1200,3,0,70
Built-up  Area,Ready To Move,4 Bedroom,Bhavani Peth,InllaPa,3042,4,0,131
Super built-up  Area,Ready To Move,3 BHK,Bibvewadi,Brway G,1640,3,3,223
Built-up  Area,19-Mar,2 BHK,Bopodi,GKncysi,1068,2,1,40.05
Super built-up  Area,Ready To Move,2 BHK,Budhwar Peth,SGiewrk,1135,2,2,58
Super built-up  Area,Ready To Move,3 BHK,Bund Garden Road,,1925,3,2,120
Super built-up  Area,Ready To Move,3 BHK,Camp,,1615,3,2,60
Super built-up  Area,Ready To Move,1 BHK,Chandan Nagar,,650,1,1,26
Plot  Area,Ready To Move,9 Bedroom,Dapodi,,1200,9,3,120
Super built-up  Area,Ready To Move,2 BHK,Deccan Gymkhana,AnaveEn,1150,2,3,42
Plot  Area,Ready To Move,6 Bedroom,Dehu Road,,930,6,1,135
Super built-up  Area,18-Mar,3 BHK,Dhankawadi,,1410,2,2,45.12
Built-up  Area,Ready To Move,3 Bedroom,Dhayari Phata,,600,2,0,100
Super built-up  Area,18-Apr,3 BHK,Dhole Patil Road,,2000,3,3,207
Super built-up  Area,Ready To Move,3 BHK,Erandwane,Sahtsva,1354,3,1,90
Plot  Area,Ready To Move,2 Bedroom,Fatima Nagar,,1050,2,0,110
Built-up  Area,Ready To Move,1 BHK,Fergusson College Road,,600,1,1,28
Plot  Area,Ready To Move,4 Bedroom,Ganesh Peth,SLncyaj,1320,2,1,110
Super built-up  Area,18-May,3 BHK,Ganeshkhind,,1600,3,2,88
Built-up  Area,Ready To Move,4 Bedroom,Ghorpade Peth,ColeyNa,3500,6,2,225
Super built-up  Area,Ready To Move,2 BHK,Ghorpadi,Samesan,1000,2,1,36
Super built-up  Area,Ready To Move,3 BHK,Gokhale Nagar,VBavaai,1130,3,1,38
Super built-up  Area,Ready To Move,2 BHK,Gultekdi,,1238,2,1,67
Super built-up  Area,Ready To Move,3 BHK,Guruwar peth,Vaour S,2204,2,3,305
Plot  Area,Ready To Move,8 Bedroom,Hadapsar,,1200,12,,110
Super built-up  Area,18-Apr,3 BHK,Hadapsar Industrial Estate,,1364,2,3,46.38
Built-up  Area,Ready To Move,2 BHK,Hingne Khurd,,900,2,1,45
Super built-up  Area,Ready To Move,3 BHK,Jangali Maharaj Road,MauilTr,1745,3,2,104
Super built-up  Area,Ready To Move,2 BHK,Kalyani Nagar,,1200,2,1,53.33
Super built-up  Area,Ready To Move,2 BHK,Karve Nagar,,1020,2,1,42.83
Super built-up  Area,18-Dec,3 BHK,Karve Road,,1650,3,2,118
Super built-up  Area,Ready To Move,3 BHK,Kasba Peth,MaaveEn,1550,2,3,70
Super built-up  Area,Ready To Move,2 BHK,Katraj,,1440,2,2,60
Super built-up  Area,Ready To Move,3 BHK,Khadaki,Soe 2as,1329,2,2,45.95
Super built-up  Area,Ready To Move,2 BHK,Khadki,Prareth,916,2,1,42
Super built-up  Area,Ready To Move,1 BHK,Kharadi,NiarkHy,688,1,2,50
Super built-up  Area,Ready To Move,3 BHK,Kondhwa,Sholaya,1358,3,3,50
Super built-up  Area,19-Jul,2 BHK,Kondhwa Budruk,Soazak ,1331,2,1,107
Super built-up  Area,Ready To Move,1 BHK,Kondhwa Khurd,Kaamai ,686,1,1,62.5
Super built-up  Area,Ready To Move,2 BHK,Koregaon Park,Sulla S,1050,2,2,50
Super built-up  Area,Ready To Move,3 BHK,Kothrud,Sodgere,2106,3,2,126
Super built-up  Area,18-Jul,3 BHK,Law College Road,Rosha I,1718,3,2,90.2
Super built-up  Area,Ready To Move,3 BHK,Laxmi Road,GrrvaGr,1530,3,2,57
Super built-up  Area,Ready To Move,2 BHK,Lulla Nagar,,1206,2,2,56
Built-up  Area,Ready To Move,2 BHK,Mahatma Gandhi Road,Arade A,1075,2,3,52
Plot  Area,18-Dec,3 Bedroom,Mangalwar peth,,1200,3,1,95
Super built-up  Area,18-Dec,3 BHK,Manik Bagh,DSdidSp,1936,2,2,54.21
Super built-up  Area,Ready To Move,4 BHK,Market yard,K dotna,2172.65,3,3,120
Super built-up  Area,Ready To Move,3 BHK,Model colony,,1100,2,2,75
Plot  Area,Ready To Move,3 Bedroom,Mukund Nagar,,1260,5,1,185
Plot  Area,Ready To Move,8 Bedroom,Mundhawa,,990,12,0,120
Plot  Area,Ready To Move,3 Bedroom,Nagar Road,,800,2,1,80
Super built-up  Area,Ready To Move,2 BHK,Nana Peth,Soikaa ,1117,2,3,29.99
Built-up  Area,Ready To Move,3 BHK,Narayan Peth,Suncy R,1685,2,1,110
Super built-up  Area,Ready To Move,2 BHK,Narayangaon,AnncyRe,740,2,1,37
Plot  Area,Ready To Move,4 Bedroom,Navi Peth,,1080,4,2,250
Plot  Area,Ready To Move,4 Bedroom,Padmavati,,1500,2,2,93
Super built-up  Area,Ready To Move,3 BHK,Parvati Darshan,Bregae ,1800,3,2,115
Super built-up  Area,Ready To Move,3 BHK,Pashan,PuontBe,1700,3,2,130
Built-up  Area,Ready To Move,2 BHK,Paud Road,Kinumsh,850,2,2,37.93
Super built-up  Area,Ready To Move,3 BHK,Pirangut,SaireSa,1891,3,1,139
Built-up  Area,Ready To Move,2 BHK,Prabhat Road,Prensin,1400,1,1,80
Super built-up  Area,Ready To Move,2 BHK,Pune Railway Station,,1172,2,2,82
Super built-up  Area,18-May,3 BHK,Rasta Peth,,1400,2,2,40.43
Built-up  Area,Ready To Move,2 BHK,Raviwar Peth,DSgam S,896,2,1,43.75
Super built-up  Area,20-Jun,2 BHK,Sadashiv Peth,Saityat,1180,2,2,65
Plot  Area,Ready To Move,7 Bedroom,Sahakar Nagar,,2460,7,1,350
Built-up  Area,Ready To Move,2 BHK,Salunke Vihar,Siise R,850,2,1,33
Super built-up  Area,19-Oct,1 BHK,Sasson Road,,530,1,1,18
Super built-up  Area,18-Jul,3 BHK,Satara Road,,1550,3,3,110
Super built-up  Area,19-Dec,3 BHK,Senapati Bapat Road,GoityEt,1699,3,3,97
